Mercado,Produto,Preço Varejo (R$),ICMS (%),ICMS (R$),PIS (%),PIS (R$),COFINS (%),COFINS (R$),IPI (%),IPI (R$),Total Tributos (R$),Preço Líquido (R$)
CELEIRO CENTRO,Óleo vila velha,6.0,7.00%,0.42,1.650%,0.1,7.60%,0.46,0.00%,0.0,0.97,5.03
CELEIRO CENTRO,Sal cristal,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Sal moc,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Sal cisne,4.0,7.00%,0.28,1.650%,0.07,7.60%,0.3,0.00%,0.0,0.65,3.35
CELEIRO CENTRO,Sal uniouro,2.0,7.00%,0.14,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.33,1.68
CELEIRO CENTRO,Feijão preto grão dourado,7.0,7.00%,0.49,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.49,6.51
CELEIRO CENTRO,Feijão preto catalão,9.0,7.00%,0.63,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.63,8.37
CELEIRO CENTRO,Feijão preto Vasconcelos,9.0,7.00%,0.63,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.63,8.37
CELEIRO CENTRO,Feijão preto filetto,7.0,7.00%,0.49,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.49,6.51
CELEIRO CENTRO,Farinha de trigo sotrigo,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
CELEIRO CENTRO,Farinha de trigo cristal,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
CELEIRO CENTRO,Farinha de trigo cristal - emegê,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
CELEIRO CENTRO,Farinha de trigo Araguaia,3.0,7.00%,0.21,0.165%,0.0,0.76%,0.02,0.00%,0.0,0.24,2.76
CELEIRO CENTRO,Macarrão espaguete cristal,8.0,7.00%,0.56,1.650%,0.13,7.60%,0.61,0.00%,0.0,1.3,6.7
CELEIRO CENTRO,Macarrão espaguete Califórnia,7.0,7.00%,0.49,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.14,5.86
CELEIRO CENTRO,Macarrão parafuso Califórnia,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Macarrão parafuso safra,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Sazón,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Extrato goiali,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.85,2.15
CELEIRO CENTRO,Extrato olé,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.57,1.44
CELEIRO CENTRO,Extrato Dez,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.85,2.15
CELEIRO CENTRO,Bolacha rosquinha adoralle,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
CELEIRO CENTRO,Bolacha rosquinha Mabel,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
CELEIRO CENTRO,Bolacha rosquinha emegê,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Bolacha rosquinha rancheiro,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Bolacha cream crack Mabel,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Bolacha cream crack adoralle,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Bolacha cream crack Vitarella,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
CELEIRO CENTRO,Toddy 200g,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
CELEIRO CENTRO,Nescau 200g,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
CELEIRO CENTRO,Leite condenado italac,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Leite condenado Piracanjuba,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Leite condenado mococa,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Creme de leite italac,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Creme de leite Nestle,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Creme de leite Piracanjuba,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Café gigante,19.0,7.00%,1.33,1.650%,0.31,7.60%,1.44,0.00%,0.0,3.09,15.91
CELEIRO CENTRO,Café pirâmide,20.0,7.00%,1.4,1.650%,0.33,7.60%,1.52,0.00%,0.0,3.25,16.75
CELEIRO CENTRO,Café coringa,21.0,7.00%,1.47,1.650%,0.35,7.60%,1.6,0.00%,0.0,3.41,17.59
CELEIRO CENTRO,Leite Piracanjuba,5.0,7.00%,0.35,1.650%,0.08,7.60%,0.38,0.00%,0.0,0.81,4.19
CELEIRO CENTRO,Leite bonolat,4.0,7.00%,0.28,1.650%,0.07,7.60%,0.3,0.00%,0.0,0.65,3.35
CELEIRO CENTRO,Leite compleite,5.0,7.00%,0.35,1.650%,0.08,7.60%,0.38,0.00%,0.0,0.81,4.19
CELEIRO CENTRO,Pão de forma Pullman,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
CELEIRO CENTRO,Pão de forma sevenboys,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
CELEIRO CENTRO,Pão de forma vilão pao,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
CELEIRO CENTRO,Tomate,11.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,11.0
CELEIRO CENTRO,Cenoura,5.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,5.0
CELEIRO CENTRO,Batata,6.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,6.0
CELEIRO CENTRO,Cebola,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
CELEIRO CENTRO,Alho,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
CELEIRO CENTRO,Alface,3.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,3.0
CELEIRO CENTRO,Batata doce,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
CELEIRO CENTRO,Repolho,3.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,3.0
CELEIRO CENTRO,Laranja,7.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,7.0
CELEIRO CENTRO,Banana nanica,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
CELEIRO CENTRO,Banana prata,6.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,6.0
CELEIRO CENTRO,Banana maçã,7.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,7.0
CELEIRO CENTRO,Banana terra,7.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,7.0
CELEIRO CENTRO,Maçã fala,13.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,13.0
CELEIRO CENTRO,Limão,3.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,3.0
CELEIRO CENTRO,Ovo branco,18.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,18.0
CELEIRO CENTRO,Ovo caipira,24.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,24.0
CELEIRO CENTRO,Cerveja amstel,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
CELEIRO CENTRO,Cerveja Heineken,5.0,21.00%,1.05,1.650%,0.08,7.60%,0.38,15.00%,0.75,2.26,2.74
CELEIRO CENTRO,Cerveja Skol,2.0,21.00%,0.42,1.650%,0.03,7.60%,0.15,15.00%,0.3,0.91,1.09
CELEIRO CENTRO,Cerveja Brahma,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
CELEIRO CENTRO,Pepsi,6.0,21.00%,1.26,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.81,4.19
CELEIRO CENTRO,Pepsi Black,6.0,21.00%,1.26,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.81,4.19
CELEIRO CENTRO,Guaraná antártica,7.0,21.00%,1.47,1.650%,0.12,7.60%,0.53,0.00%,0.0,2.12,4.88
CELEIRO CENTRO,Guaraná antártica zero,7.0,21.00%,1.47,1.650%,0.12,7.60%,0.53,0.00%,0.0,2.12,4.88
CELEIRO CENTRO,Coca cola,8.0,21.00%,1.68,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.42,5.58
CELEIRO CENTRO,Coca zero,9.0,21.00%,1.89,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.72,6.28
CELEIRO CENTRO,Suco lafruit,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Suco adoralle,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
CELEIRO CENTRO,Suco lafruit light,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Suco del Valle,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
CELEIRO CENTRO,Colgate,8.0,12.00%,0.96,1.650%,0.13,7.60%,0.61,0.00%,0.0,1.7,6.3
CELEIRO CENTRO,Closeup,6.0,12.00%,0.72,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.27,4.72
CELEIRO CENTRO,Absorvente intimus noturno,9.0,12.00%,1.08,1.650%,0.15,7.60%,0.68,0.00%,0.0,1.91,7.09
CELEIRO CENTRO,Absorvente always noturno,10.0,12.00%,1.2,1.650%,0.17,7.60%,0.76,0.00%,0.0,2.12,7.88
CELEIRO CENTRO,Absorvente milli noturno,9.0,12.00%,1.08,1.650%,0.15,7.60%,0.68,0.00%,0.0,1.91,7.09
CELEIRO CENTRO,Creme seda,11.0,19.00%,2.09,1.650%,0.18,7.60%,0.84,5.00%,0.55,3.66,7.34
CELEIRO CENTRO,Shampoo seda,12.0,19.00%,2.28,1.650%,0.2,7.60%,0.91,7.00%,0.84,4.23,7.77
CELEIRO CENTRO,Condicionador,14.0,19.00%,2.66,1.650%,0.23,7.60%,1.06,7.00%,0.98,4.94,9.06
CELEIRO CENTRO,Shampoo dove,16.0,19.00%,3.04,1.650%,0.26,7.60%,1.22,7.00%,1.12,5.64,10.36
CELEIRO CENTRO,Condicionador dove,20.0,19.00%,3.8,1.650%,0.33,7.60%,1.52,7.00%,1.4,7.05,12.95
CELEIRO CENTRO,Shampoo Elseve,29.0,19.00%,5.51,1.650%,0.48,7.60%,2.2,7.00%,2.03,10.22,18.78
CELEIRO CENTRO,Condicionador Elseve,30.0,19.00%,5.7,1.650%,0.49,7.60%,2.28,7.00%,2.1,10.57,19.43
CELEIRO CENTRO,Sabonete Palmolive,3.0,12.00%,0.36,1.650%,0.05,7.60%,0.23,5.00%,0.15,0.79,2.21
CELEIRO CENTRO,Sabonete Lux,3.0,12.00%,0.36,1.650%,0.05,7.60%,0.23,5.00%,0.15,0.79,2.21
CELEIRO CENTRO,Sabonete laflore,5.0,12.00%,0.6,1.650%,0.08,7.60%,0.38,5.00%,0.25,1.31,3.69
CELEIRO CENTRO,Rexona,16.0,25.00%,4.0,1.650%,0.26,7.60%,1.22,5.00%,0.8,6.28,9.72
CELEIRO CENTRO,Above,11.0,25.00%,2.75,1.650%,0.18,7.60%,0.84,5.00%,0.55,4.32,6.68
CELEIRO CENTRO,Nivea,14.0,25.00%,3.5,1.650%,0.23,7.60%,1.06,5.00%,0.7,5.5,8.5
CELEIRO CENTRO,Giovanna baby,16.0,25.00%,4.0,1.650%,0.26,7.60%,1.22,5.00%,0.8,6.28,9.72
CELEIRO CENTRO,Papel toalha snob,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Papel toalha Mili,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Papel higiênico atualle,13.0,12.00%,1.56,1.650%,0.21,7.60%,0.99,5.00%,0.65,3.41,9.59
CELEIRO CENTRO,Papel higiênico mímmo,18.0,12.00%,2.16,1.650%,0.3,7.60%,1.37,5.00%,0.9,4.73,13.27
CELEIRO CENTRO,Limpador veja,12.0,19.00%,2.28,1.650%,0.2,7.60%,0.91,5.00%,0.6,3.99,8.01
CELEIRO CENTRO,Limpador CIF,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,5.00%,0.35,2.33,4.67
CELEIRO CENTRO,Limpador Ypê,4.0,19.00%,0.76,1.650%,0.07,7.60%,0.3,5.00%,0.2,1.33,2.67
CELEIRO CENTRO,Desifetante pinho,4.0,19.00%,0.76,1.650%,0.07,7.60%,0.3,5.00%,0.2,1.33,2.67
CELEIRO CENTRO,Desifetante pinho sol,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,5.00%,0.45,2.99,6.01
CELEIRO CENTRO,Desifetante Ypê,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,5.00%,0.15,1.0,2.0
CELEIRO CENTRO,Água sanitária qboa,3.0,12.00%,0.36,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.64,2.36
CELEIRO CENTRO,Água sanitária zupp,2.0,12.00%,0.24,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.43,1.57
CELEIRO CENTRO,Detergente Ypê,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,5.00%,0.1,0.67,1.33
CELEIRO CENTRO,Detergente zupp,1.0,19.00%,0.19,1.650%,0.02,7.60%,0.08,5.00%,0.05,0.33,0.67
CELEIRO CENTRO,Detergente ki joia,1.0,19.00%,0.19,1.650%,0.02,7.60%,0.08,5.00%,0.05,0.33,0.67
CELEIRO CENTRO,Sabão de barro ype,14.0,12.00%,1.68,1.650%,0.23,7.60%,1.06,5.00%,0.7,3.68,10.32
CELEIRO CENTRO,Sabão de barro família,12.0,12.00%,1.44,1.650%,0.2,7.60%,0.91,5.00%,0.6,3.15,8.85
CELEIRO CENTRO,Sabão em pó omo,17.0,19.00%,3.23,1.650%,0.28,7.60%,1.29,5.00%,0.85,5.65,11.35
CELEIRO CENTRO,Sabão em pó minuano,10.0,19.00%,1.9,1.650%,0.17,7.60%,0.76,5.00%,0.5,3.33,6.67
CELEIRO CENTRO,Sabão em pó brilhante,15.0,19.00%,2.85,1.650%,0.25,7.60%,1.14,5.00%,0.75,4.99,10.01
CELEIRO CENTRO,Sabão em pó tixan,12.0,19.00%,2.28,1.650%,0.2,7.60%,0.91,5.00%,0.6,3.99,8.01
CELEIRO CENTRO,Amaciante Ypê,11.0,19.00%,2.09,1.650%,0.18,7.60%,0.84,5.00%,0.55,3.66,7.34
CELEIRO CENTRO,Amaciante sense,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,5.00%,0.4,2.66,5.34
CELEIRO CENTRO,Amaciante mon bijou,10.0,19.00%,1.9,1.650%,0.17,7.60%,0.76,5.00%,0.5,3.33,6.67
CELEIRO CENTRO,Maionese Hellmanns,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
CELEIRO CENTRO,Maionese quero,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.85,2.15
CELEIRO CENTRO,Maionese fugini,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.85,2.15
CELEIRO CENTRO,Acem,29.0,7.00%,2.03,1.650%,0.48,7.60%,2.2,0.00%,0.0,4.71,24.29
CELEIRO CENTRO,Alcatra,41.0,7.00%,2.87,1.650%,0.68,7.60%,3.12,0.00%,0.0,6.66,34.34
CELEIRO CENTRO,Cupim,33.0,7.00%,2.31,1.650%,0.54,7.60%,2.51,0.00%,0.0,5.36,27.64
CELEIRO CENTRO,Patinho,37.0,7.00%,2.59,1.650%,0.61,7.60%,2.81,0.00%,0.0,6.01,30.99
CELEIRO CENTRO,Costela,18.0,7.00%,1.26,1.650%,0.3,7.60%,1.37,0.00%,0.0,2.93,15.07
CELEIRO CENTRO,Barriguinha,20.0,7.00%,1.4,1.650%,0.33,7.60%,1.52,0.00%,0.0,3.25,16.75
CELEIRO CENTRO,Bisteca,23.0,7.00%,1.61,1.650%,0.38,7.60%,1.75,0.00%,0.0,3.74,19.26
CELEIRO CENTRO,Lombo,24.0,7.00%,1.68,1.650%,0.4,7.60%,1.82,0.00%,0.0,3.9,20.1
CELEIRO CENTRO,Costelinha,25.0,7.00%,1.75,1.650%,0.41,7.60%,1.9,0.00%,0.0,4.06,20.94
CELEIRO CENTRO,Pernil,20.0,7.00%,1.4,1.650%,0.33,7.60%,1.52,0.00%,0.0,3.25,16.75
CELEIRO CENTRO,Asinha,16.0,7.00%,1.12,1.650%,0.26,7.60%,1.22,0.00%,0.0,2.6,13.4
CELEIRO CENTRO,Coxa sobrecoxa,13.0,7.00%,0.91,1.650%,0.21,7.60%,0.99,0.00%,0.0,2.11,10.89
CELEIRO CENTRO,Coxinha,13.0,7.00%,0.91,1.650%,0.21,7.60%,0.99,0.00%,0.0,2.11,10.89
CELEIRO CENTRO,Filé de peito,23.0,7.00%,1.61,1.650%,0.38,7.60%,1.75,0.00%,0.0,3.74,19.26
CELEIRO CENTRO,Frango,11.0,7.00%,0.77,1.650%,0.18,7.60%,0.84,0.00%,0.0,1.79,9.21
CELEIRO CENTRO,Açucar cristal,18.0,7.00%,1.26,1.650%,0.3,7.60%,1.37,0.00%,0.0,2.93,15.07
CELEIRO CENTRO,Açúcar Vasconcelos,28.0,7.00%,1.96,1.650%,0.46,7.60%,2.13,0.00%,0.0,4.55,23.45
CELEIRO CENTRO,Açucar ecoaçucar,20.0,7.00%,1.4,1.650%,0.33,7.60%,1.52,0.00%,0.0,3.25,16.75
CELEIRO CENTRO,Cerveja amstel,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
CELEIRO CENTRO,Cerveja Heineken,5.0,21.00%,1.05,1.650%,0.08,7.60%,0.38,15.00%,0.75,2.26,2.74
CELEIRO CENTRO,Cerveja Skol,2.0,21.00%,0.42,1.650%,0.03,7.60%,0.15,15.00%,0.3,0.91,1.09
CELEIRO CENTRO,Cerveja Brahma,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
CELEIRO CENTRO,Cerveja antartica,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
COMPLEM,Gasolina,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
COMPLEM,Etanol,4.0,19.00%,0.76,1.650%,0.07,7.60%,0.3,0.00%,0.0,1.13,2.87
COMPLEM,Diesel,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
COMPLEM,Bujão de gás,98.0,19.00%,18.62,1.650%,1.62,7.60%,7.45,0.00%,0.0,27.69,70.31
COMPLEM,Pão francês,15.0,19.00%,2.85,1.650%,0.25,7.60%,1.14,0.00%,0.0,4.24,10.76
COMPLEM,Pão amanteigado,19.0,19.00%,3.61,1.650%,0.31,7.60%,1.44,0.00%,0.0,5.37,13.63
